track_name,artist,genre,year,popularity,source,mood,mood_code,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,key,mode
Morning Has Broken - Remastered 2021,Yusuf / Cat Stevens,folk,0,69.0,spotify_114k,nostalgic,3,0.443,0.3649368747253477,0.6754041950256813,0.0315,0.5943775100401606,0.00484,0.398,0.637259453173232,199453.0,7.0,1.0
Down,Jay Sean,latin,2009,76.0,musicon_v2,euphoric,6,0.6430155210643016,0.689694486252483,0.9957535569710759,0.0143540669856459,0.011155734047300301,0.0,0.6898989898989899,0.0007841159310537136,212107.0,-1.0,-1.0
True Friends,Bring Me The Horizon,metal,0,66.0,spotify_114k,energetic,7,0.419,0.9379938365873568,0.8957569010449612,0.0837,0.0006857429718875503,0.0,0.333,0.7664524218596704,232320.0,7.0,1.0
"Call It Fate, Call It Karma",The Strokes,alt-rock,0,72.0,spotify_114k,nostalgic,3,0.544,0.24092454790006126,0.6007641120360298,0.03,0.9869477911646587,0.774,0.359,0.5237448014127714,204773.0,4.0,0.0
White Room,Cream,album rock,1968,74.0,musicon_v2,energetic,7,0.524390243902439,0.5726940466427634,0.9882338141073561,0.0119617224880382,0.1926899517260963,0.0,0.4646464646464647,0.0019738090678248655,298000.0,-1.0,-1.0
Wonder Woman,John Legend,soul,0,71.0,spotify_114k,nostalgic,3,0.628,0.47594790922217667,0.8495306530374719,0.0352,0.4186746987951807,0.0,0.336,0.7078932381275992,168562.0,0.0,1.0
Green Green Grass,George Ezra,folk,0,77.0,spotify_114k,euphoric,6,0.685,0.7379739546110884,0.8630417731447512,0.0595,0.06977911646586346,0.0,0.8,0.5406626433948628,167613.0,8.0,1.0
Lose Control,Meduza,r&b,2019,91.0,musicon_v2,happy,5,0.5776053215077604,0.5177547097825472,0.9920379193207673,0.0263157894736842,0.13082633564561277,0.0,0.5343434343434343,0.0023496439451230248,168387.0,-1.0,-1.0
Let Me Love You,DJ Snake;Justin Bieber,pop,0,84.0,spotify_114k,dark,1,0.649,0.7159717675936988,0.8388027224654,0.0349,0.08664658634538153,2.63e-05,0.163,0.47852367301424736,205946.0,8.0,1.0
Slow Dancing In A Burning Room,John Mayer,neo mellow,2006,76.0,musicon_v2,nostalgic,3,0.6574279379157427,0.34886711869373455,0.9917725166314596,0.0119617224880382,0.578069855178289,0.0,0.2929292929292929,0.0026227325969727664,242000.0,-1.0,-1.0
Solo (Feat. Demi Lovato),Clean Bandit,edm,2018,80.0,musicon_v2,happy,5,0.7317073170731707,0.6296681737570616,0.9957535569710759,0.0287081339712918,0.044622936189201205,0.0,0.5707070707070707,0.0018386166659190527,222653.0,-1.0,-1.0
Popular Monster,Falling In Reverse,punk-rock,0,75.0,spotify_114k,energetic,7,0.461,0.8969897607822219,0.8739468157781546,0.092,0.008242971887550202,0.0,0.358,0.7901709013117908,220537.0,3.0,0.0
YKWIM?,Yot Club,indie-pop,0,84.0,spotify_114k,nostalgic,3,0.372,0.5369539732249387,0.7818232421627913,0.0305,0.9407630522088355,0.873,0.228,0.5921723274834769,212750.0,9.0,1.0
"Say You, Say Me",Lionel Richie,disco,0,69.0,spotify_114k,nostalgic,3,0.636,0.4049408511206014,0.6935202287275763,0.0287,0.35642570281124497,0.0,0.257,0.6129092466654862,241066.0,8.0,1.0
Hymn For The Weekend - Seeb Remix,Coldplay,latin,2016,71.0,musicon_v2,energetic,7,0.541019955654102,0.8463733358168032,0.9966382326021018,0.0382775119617224,0.009127418765972893,0.0,0.4313131313131313,0.001757501224775565,212647.0,-1.0,-1.0
MONSTERS,Shinedown,grunge,0,67.0,spotify_114k,energetic,7,0.487,0.8999900590118659,0.8598284543177391,0.0529,0.0020481927710843378,6.42e-06,0.377,0.7176754358677393,248373.0,5.0,1.0
I Got Summer On My Mind,Jay Dunham,club,0,65.0,spotify_114k,energetic,7,0.807,0.8349835973695786,0.8014067758014322,0.0631,0.0014859437751004016,0.527,0.349,0.5981258764016444,188160.0,9.0,0.0
私は最強 - ウタ from ONE PIECE FILM RED,Ado,j-pop,0,72.0,spotify_114k,euphoric,6,0.574,0.8579858837968495,0.9010449611618552,0.0469,0.20582329317269077,0.0,0.658,0.4592177113294504,257915.0,4.0,1.0
