track_name,artist,genre,year,popularity,source,mood,mood_code,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,key,mode
Right Hand Man,Lin-Manuel Miranda,pop,2015,65.0,musicon_v2,melancholic,0,0.6685144124168514,0.4028484231943031,0.6608391608391607,0.5645933014354068,0.1787878787878788,0.0,0.3878787878787879,0.6870056497175141,321697.0,-1.0,-1.0
Nasty Freestyle,T-Wayne,rap,2015,65.0,musicon_v2,melancholic,0,0.7782705099778271,0.4628687690742625,0.7412587412587411,0.2368421052631579,0.0585858585858585,0.0,0.4161616161616162,0.5542372881355933,142212.0,-1.0,-1.0
Gta,Standart Skill,rap,2020,65.0,musicon_v2,energetic,7,0.8569844789356984,0.6286876907426246,0.818181818181818,0.0418660287081339,0.2272727272727273,0.0,0.4414141414141415,0.384180790960452,195000.0,-1.0,-1.0
Big Shot (Feat. Mustard),O.T. Genasis,rap,2019,65.0,musicon_v2,dark,1,0.8824833702882483,0.5839267548321465,0.7832167832167831,0.2464114832535885,0.1696969696969697,0.0,0.2797979797979798,0.3587570621468927,143333.0,-1.0,-1.0
Stand By Me - Remastered,John Lennon,rock,1975,65.0,musicon_v2,happy,5,0.61529933481153,0.5483214649033571,0.6363636363636362,0.0107655502392344,0.2929292929292929,0.0235546038543897,0.6393939393939394,0.384180790960452,211667.0,-1.0,-1.0
When The Curtain Falls,Greta Van Fleet,rap,2018,65.0,musicon_v2,happy,5,0.507760532150776,0.9745676500508648,0.8846153846153845,0.0538277511961722,0.0303030303030303,0.1349036402569593,0.6959595959595961,0.3333333333333333,222960.0,-1.0,-1.0
Kochaj Mnie,Szpaku,rap,2019,65.0,musicon_v2,energetic,7,0.4844789356984479,0.538148524923703,0.7832167832167831,0.0574162679425837,0.3090909090909091,0.0139186295503211,0.0858585858585858,0.5796610169491525,185143.0,-1.0,-1.0
Would You Be So Kind,Dodie,pop,2017,65.0,musicon_v2,happy,5,0.6485587583148559,0.607324516785351,0.6538461538461537,0.2200956937799043,0.1595959595959596,0.0,0.6222222222222223,0.6954802259887005,180952.0,-1.0,-1.0
Winter,Khalid,pop,2017,65.0,musicon_v2,energetic,7,0.6662971175166297,0.5676500508647,0.7412587412587411,0.1232057416267942,0.102020202020202,0.0,0.3707070707070707,0.3559322033898305,241867.0,-1.0,-1.0
Raf,A$Ap Mob,rap,2017,65.0,musicon_v2,energetic,7,0.8547671840354767,0.6571719226856562,0.7937062937062935,0.2691387559808612,0.5282828282828284,0.0,0.3363636363636363,0.5480225988700566,255413.0,-1.0,-1.0
It'S Goin' Down (Feat. Nitti),Yung Joc,rap,2006,65.0,musicon_v2,happy,5,0.8991130820399112,0.5696846388606308,0.7202797202797202,0.0490430622009569,0.1,0.0,0.6151515151515152,0.2655367231638418,241840.0,-1.0,-1.0
New Choppa,Playboi Carti,rap,2017,65.0,musicon_v2,energetic,7,0.770509977827051,0.5981688708036623,0.8426573426573425,0.0454545454545454,0.1757575757575757,0.0,0.4292929292929293,0.5152542372881356,126043.0,-1.0,-1.0
Big City Life,Mattafix,rap,0,65.0,musicon_v2,happy,5,0.6796008869179601,0.6113936927772127,0.6608391608391607,0.0837320574162679,0.0181818181818181,0.0,0.7404040404040404,0.7740112994350283,240893.0,-1.0,-1.0
No Sleep,Wiz Khalifa,rap,2011,65.0,musicon_v2,euphoric,6,0.6385809312638581,0.7060020345879959,0.7622377622377621,0.0502392344497607,0.1101010101010101,0.0,0.7767676767676769,0.6949152542372882,191320.0,-1.0,-1.0
Habits (Stay High) - Hippie Sabotage Remix,Tove Lo,edm,2014,65.0,musicon_v2,dark,1,0.729490022172949,0.6805696846388606,0.7237762237762237,0.020334928229665,0.001010101010101,0.9325481798715202,0.0666666666666666,0.4745762711864407,258933.0,-1.0,-1.0
Telescope,Cage The Elephant,punk,0,65.0,spotify_114k,melancholic,0,0.589,0.481,-4.801,0.0285,0.273,1.33e-05,0.176,93.568,228293.0,0.0,1.0
Such A Simple Thing,Ray LaMontagne,acoustic,0,65.0,spotify_114k,melancholic,0,0.522,0.256,-11.216,0.0258,0.86,0.000806,0.13,76.349,296386.0,10.0,1.0
Клетка,Molchat Doma,punk,0,65.0,spotify_114k,energetic,7,0.505,0.751,-4.139,0.0411,0.628,0.889,0.388,129.915,283485.0,2.0,1.0
If I Can Dream - Live from the '68 Comeback Special,Elvis Presley,rockabilly,0,65.0,spotify_114k,energetic,7,0.346,0.62,-9.247,0.0432,0.0822,0.00393,0.391,93.932,200057.0,7.0,1.0
witchblades,Lil Peep;Lil Tracy,emo,0,65.0,spotify_114k,happy,5,0.634,0.54,-7.002,0.0777,0.0223,0.0,0.543,143.968,149360.0,8.0,1.0
South Of The Border (Feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,pop,2019,65.0,musicon_v2,energetic,7,0.7893569844789358,0.8555442522889115,0.8356643356643355,0.0239234449760765,0.2222222222222222,0.0,0.495959595959596,0.4124293785310735,173455.0,-1.0,-1.0
Drive My Car - Remastered 2009,The Beatles,british,0,65.0,spotify_114k,happy,5,0.754,0.571,-8.547,0.0421,0.0173,0.0,0.82,122.463,148893.0,2.0,1.0
Ticket To Ride - Remastered 2009,The Beatles,british,0,65.0,spotify_114k,happy,5,0.519,0.85,-6.777,0.0678,0.0457,0.0,0.749,123.419,189680.0,9.0,1.0
No Effect,Hooligan Hefs,rap,2019,65.0,musicon_v2,energetic,7,0.958980044345898,0.7843336724313327,0.853146853146853,0.0980861244019138,0.5141414141414141,0.0,0.2949494949494949,0.5819209039548023,200960.0,-1.0,-1.0
Love Me Like a Friend,Fly By Midnight,electro,0,65.0,spotify_114k,euphoric,6,0.713,0.764,-5.57,0.0294,0.0718,0.0,0.962,125.052,202266.0,6.0,0.0
Met Gala (Feat. Offset),Gucci Mane,rap,2017,65.0,musicon_v2,energetic,7,0.8203991130820399,0.5798575788402849,0.7622377622377621,0.1052631578947368,0.0525252525252525,0.0021413276231263,0.3555555555555556,0.5824858757062147,209143.0,-1.0,-1.0
